playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,PA,OBP,SLG,OPS,OPS_Plus,TB
goodrni01,2017,1,MIN,AL,11,17,1,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0.059,18,0.111,0.059,0.170,-52,1
goodwbr01,2017,1,WSN,NL,74,251,41,63,21,1,13,30,6,0,23,69,2,1,0,3,3,0.251,278,0.313,0.498,0.811,105,125
goodyni01,2017,1,CLE,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
gordoal01,2017,1,KCR,AL,148,476,52,99,20,2,9,45,7,4,45,126,3,14,2,4,7,0.208,541,0.293,0.315,0.608,62,150
gordode01,2017,1,MIA,NL,158,653,114,201,20,9,2,33,60,16,25,93,0,10,2,4,7,0.308,695,0.341,0.375,0.716,94,245
gorete01,2017,1,KCR,AL,12,4,2,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0.000,5,0.200,0.000,0.200,-39,0
gosewtu01,2017,1,SEA,AL,11,28,1,2,0,0,0,0,0,0,1,14,0,0,2,0,2,0.071,31,0.103,0.071,0.175,-51,2
gosseda01,2017,1,OAK,AL,3,5,1,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0.200,7,0.200,0.200,0.400,10,1
gosseph01,2017,1,TEX,AL,12,8,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0.125,8,0.125,0.250,0.375,-6,2
gosseph01,2017,2,PIT,NL,28,40,3,6,1,0,0,2,0,1,2,9,0,0,0,0,1,0.150,42,0.190,0.175,0.365,-2,7
gotttr01,2017,1,WSN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
gourryu01,2017,1,HOU,AL,139,529,69,158,43,1,18,75,3,2,22,62,1,7,0,6,12,0.299,564,0.332,0.486,0.817,124,257
gracema02,2017,1,WSN,NL,39,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.000,5,0.000,0.000,0.000,-100,0
grandcu01,2017,1,LAD,NL,36,112,16,18,2,0,7,12,2,0,18,33,0,2,0,0,1,0.161,132,0.288,0.366,0.654,72,41
grandcu01,2017,2,NYM,NL,111,337,58,77,22,3,19,52,4,2,53,90,2,2,0,3,4,0.228,395,0.334,0.481,0.815,113,162
grandya01,2017,1,LAD,NL,129,438,50,108,27,0,22,58,0,1,40,130,0,0,1,3,10,0.247,482,0.308,0.459,0.767,100,201
graniza01,2017,1,MIN,AL,40,93,14,22,2,0,1,13,2,2,12,9,0,0,1,1,6,0.237,107,0.321,0.290,0.611,67,27
grateju01,2017,1,LAA,AL,48,84,5,17,4,0,0,10,0,0,1,13,0,0,0,2,4,0.202,87,0.207,0.250,0.457,24,21
graveke01,2017,1,OAK,AL,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,1,0.000,0.000,0.000,-100,0
grayjo02,2017,1,COL,NL,19,38,3,3,0,0,1,3,0,0,1,27,0,0,4,0,0,0.079,43,0.103,0.158,0.260,-37,6
greench03,2017,1,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
greengr01,2017,1,WSN,NL,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.000,3,0.000,0.000,0.000,-100,0
greensh02,2017,1,DET,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
gregelu01,2017,1,HOU,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
gregodi01,2017,1,NYY,AL,136,534,73,153,27,0,25,87,3,1,25,70,1,3,0,7,7,0.287,570,0.318,0.478,0.796,106,255
greinza01,2017,1,ARI,NL,30,62,4,13,4,0,0,4,0,0,2,18,0,1,5,0,0,0.210,70,0.246,0.274,0.520,31,17
grichra01,2017,1,STL,NL,122,412,53,98,25,3,22,59,6,1,26,133,3,2,0,2,9,0.238,442,0.285,0.473,0.758,95,195
griffaj01,2017,1,TEX,AL,3,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0.000,6,0.167,0.000,0.167,-50,0
grillja01,2017,1,TOR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
grillja01,2017,2,TEX,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
grimmju01,2017,1,CHC,NL,48,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.000,3,0.000,0.000,0.000,-100,0
grossro01,2017,1,MIN,AL,119,382,62,94,22,1,9,45,3,1,67,79,0,3,2,2,6,0.246,456,0.361,0.380,0.741,100,145
